id,name,grade,subject,marks
197,Rohan Kapoor,11,Geography,69
198,Aarohi Thakur,12,History,66
199,Dhruv Bhat,10,History,59
200,Pallavi Chauhan,10,Math,70
201,Aarohi Gupta,11,Math,71
202,Aditya Thakur,12,Science,92
203,Anjali Kapoor,11,English,83
204,Dhruv Kumar,11,Science,65
205,Shreya Reddy,10,History,40
206,Pooja Choudhary,12,Computer Science,83
207,Sanya Krishnan,10,History,39
208,Ananya Chauhan,11,Math,91
209,Priya Chauhan,12,Math,53
210,Aarohi Kaur,10,Math,95
211,Tanya Gupta,12,Computer Science,45
212,Kabir Kaur,12,English,97
213,Anjali Shah,9,Science,71
214,Nisha Choudhary,9,History,47
215,Priya Pillai,10,Computer Science,73
216,Rahul Shah,11,Math,72
217,Divya Patel,12,Science,66
218,Vivek Malhotra,10,Science,57
219,Arjun Nambiar,12,Geography,65
220,Amit Kumar,10,Science,94
221,Tanya Pillai,11,Computer Science,36
222,Dhruv Saxena,11,Computer Science,55
223,Sneha Pillai,11,Geography,73
224,Yuvraj Agarwal,11,History,73
225,Kavya Reddy,12,Math,65
226,Sanya Menon,11,Geography,72
227,Riya Rao,12,English,36
228,Shreya Kaur,9,Geography,98
229,Riya Bose,10,Geography,80
230,Nisha Sharma,10,Geography,67
231,Ananya Sharma,9,Computer Science,40
232,Aditya Trivedi,12,Math,81
233,Ananya Iyer,11,English,88
234,Devansh Desai,10,Geography,81
235,Vivek Chauhan,11,Science,67
236,Neha Trivedi,11,Computer Science,78
237,Vikram Pillai,9,Science,63
238,Nikhil Kaur,11,Math,85
239,Aditi Joshi,9,History,82
240,Tanya Menon,12,Computer Science,82
241,Priya Krishnan,10,History,38
242,Sameer Saxena,11,Geography,63
243,Sneha Sharma,12,Computer Science,73
244,Aarohi Mehta,10,Math,39
245,Aditya Kapoor,9,Math,65
246,Anjali Kulkarni,12,History,82
247,Anjali Malhotra,10,History,47
248,Amit Nambiar,12,English,39
249,Manav Desai,12,History,65
250,Manav Mehta,11,Geography,80
251,Karan Reddy,11,Science,50
252,Dhruv Iyer,10,Computer Science,37
253,Karan Trivedi,11,Science,51
254,Shreya Desai,9,Geography,61
255,Gaurav Desai,10,English,53
256,Pallavi Rao,11,Science,51
257,Anjali Joshi,10,Math,38
258,Ananya Rao,11,Science,76
259,Rahul Nair,11,Math,51
260,Aarohi Chauhan,9,Computer Science,43
261,Neha Pillai,11,Geography,48
262,Simran Chauhan,10,Geography,40
263,Vivek Verma,12,Computer Science,38
264,Karan Kapoor,12,History,48
265,Amit Agarwal,12,Math,45
266,Pooja Nambiar,10,Math,51
267,Yash Nambiar,11,History,72
268,Dhruv Chauhan,12,Math,49
269,Rajesh Choudhary,10,History,92
270,Nisha Malhotra,11,History,86
271,Aarohi Choudhary,9,English,89
272,Pooja Krishnan,11,English,54
273,Neha Iyer,9,Math,46
274,Yuvraj Mehta,11,Science,42
275,Gaurav Bhat,11,Computer Science,50
276,Aarohi Patel,12,Computer Science,41
277,Riya Nambiar,11,English,48
278,Shreya Chauhan,10,Science,96
279,Nisha Kaur,9,English,82
280,Vikram Bose,11,Geography,63
281,Yuvraj Kaur,9,Geography,69
282,Rahul Nair,11,Computer Science,74
283,Kabir Patel,9,Science,53
284,Shreya Krishnan,12,Math,53
285,Rahul Iyer,10,History,88
286,Dhruv Gupta,10,English,74
287,Pooja Bose,9,Math,54
288,Ishita Bose,9,Computer Science,45
289,Yash Pillai,12,History,91
290,Aarohi Joshi,10,Geography,49
291,Divya Malhotra,9,English,97
292,Vivek Krishnan,11,Math,63
293,Nikhil Nambiar,9,Math,61
294,Aditya Desai,10,English,72
295,Pooja Mehta,9,History,90
296,Devansh Kulkarni,12,Geography,64
297,Sara Bhat,11,Math,85
298,Meera Malhotra,9,History,44
299,Pooja Menon,12,Geography,86
300,Aarohi Verma,9,History,37
301,Pooja Nair,12,Computer Science,81
302,Arjun Malhotra,9,Science,90
303,Gaurav Reddy,9,History,74
304,Kabir Singh,11,Science,44
305,Sara Sharma,9,Geography,100
306,Kavya Saxena,11,English,53
307,Siddharth Mehta,10,English,60
308,Devansh Nambiar,10,Computer Science,44
309,Devansh Bose,12,History,92
310,Shreya Sharma,11,Computer Science,75
311,Rohan Pillai,9,History,91
312,Aditya Trivedi,11,Geography,42
313,Divya Chauhan,9,English,94
314,Simran Shah,9,English,71
315,Sneha Sharma,9,Geography,99
316,Sanya Pillai,9,History,59
317,Pooja Nambiar,12,Geography,54
318,Karan Pillai,9,English,45
319,Sara Sharma,10,Math,66
320,Simran Pillai,10,English,82
321,Riya Reddy,12,English,41
322,Kabir Iyer,11,Math,84
323,Riya Joshi,10,English,45
324,Gaurav Krishnan,10,English,74
325,Nikhil Kulkarni,9,English,83
326,Kabir Thakur,10,Computer Science,46
327,Yuvraj Chauhan,11,Math,81
328,Aditya Nair,10,English,97
329,Kavya Singh,10,Science,44
330,Riya Kaur,9,Geography,39
331,Kabir Saxena,10,Geography,83
332,Rohan Nair,10,Computer Science,56
333,Simran Shah,12,English,65
334,Simran Nambiar,11,Computer Science,92
335,Nisha Bhat,10,English,95
336,Kavya Patel,12,History,71
337,Sanya Chauhan,12,Science,60
338,Pallavi Kulkarni,11,Math,96
339,Manav Bhat,9,Computer Science,50
340,Riya Iyer,10,English,92
341,Sara Kulkarni,12,Math,63
342,Simran Saxena,11,Math,88
343,Karan Reddy,11,Science,84
344,Arjun Patel,10,Math,75
345,Priya Thakur,11,Science,52
346,Meera Verma,12,Computer Science,52
347,Neha Pillai,9,Math,37
348,Tanya Desai,10,Geography,89
349,Vikram Bose,11,Science,73
350,Vikram Shah,10,History,93
351,Sneha Mehta,12,Geography,37
352,Sara Menon,10,Computer Science,53
353,Riya Malhotra,9,Geography,80
354,Siddharth Menon,12,Science,45
355,Vivek Patel,9,Geography,99
356,Sara Bhat,9,History,95
357,Meera Sharma,12,English,67
358,Rahul Patel,9,English,65
359,Priya Bose,11,Science,40
360,Divya Bhat,11,Computer Science,57
361,Dhruv Agarwal,12,Computer Science,58
362,Ananya Iyer,12,Math,72
363,Kavya Shah,10,Math,75
364,Aditya Chauhan,12,Geography,95
365,Tanya Shah,10,English,80
366,Karan Kaur,11,English,50
367,Manav Malhotra,12,Computer Science,91
368,Sanya Gupta,10,History,98
369,Manav Kumar,11,Math,89
370,Arjun Malhotra,10,Geography,72
371,Pooja Mehta,9,English,72
372,Aditya Pillai,12,Science,91
373,Divya Pillai,9,Computer Science,80
374,Sameer Malhotra,11,Computer Science,42
375,Sneha Krishnan,12,English,100
376,Ishita Rao,10,Geography,91
377,Meera Kulkarni,9,Science,81
378,Manav Reddy,9,Geography,54
379,Simran Patel,11,History,44
380,Shreya Kulkarni,11,History,75
381,Yash Singh,9,Math,58
382,Amit Chauhan,12,Geography,50
383,Tanya Bose,11,Computer Science,92
384,Aryan Nambiar,11,Computer Science,97
385,Kavya Mehta,10,Math,92
386,Devansh Saxena,12,Math,75
387,Divya Agarwal,9,Geography,72
388,Aditya Kaur,10,Computer Science,57
389,Manav Chauhan,10,Math,60
390,Ananya Singh,12,Math,81
391,Rajesh Menon,11,History,51
392,Sameer Saxena,9,Math,74
393,Nikhil Agarwal,12,Geography,87
394,Aarohi Thakur,9,Science,75
395,Sneha Pillai,12,Computer Science,79
396,Ananya Saxena,10,Science,90
397,Sara Kumar,9,Math,54
398,Aditya Nair,10,English,63
399,Divya Chauhan,11,Math,67
400,Kavya Sharma,11,Science,73
401,Sameer Bhat,9,Geography,56
402,Gaurav Menon,10,Science,78
403,Shreya Shah,9,Math,40
404,Shreya Joshi,10,Geography,88
405,Sameer Sharma,9,History,72
406,Aditya Kapoor,10,Computer Science,86
407,Aditya Pillai,9,Computer Science,42
408,Ishita Pillai,12,History,94
409,Aryan Gupta,10,English,75
410,Divya Reddy,10,English,100
411,Rajesh Mehta,11,Science,94
412,Vikram Joshi,12,Science,53
413,Priya Shah,11,History,88
414,Siddharth Kaur,10,English,75
415,Kavya Bose,10,History,100
416,Dhruv Kapoor,11,History,37
417,Arjun Reddy,12,Science,62
418,Gaurav Patel,9,Math,71
419,Amit Nambiar,12,English,36
420,Priya Malhotra,10,English,81
421,Nikhil Patel,9,History,41
422,Shreya Bhat,10,English,71
423,Sneha Reddy,12,Geography,70
424,Sameer Krishnan,9,Science,47
425,Nikhil Patel,11,Geography,81
426,Rohan Desai,12,Geography,40
427,Meera Shah,10,Computer Science,77
428,Neha Chauhan,12,Science,100
429,Ananya Gupta,11,Science,85
430,Sameer Choudhary,11,Geography,78
431,Sara Thakur,12,Computer Science,73
432,Neha Thakur,9,English,77
433,Vikram Malhotra,11,Computer Science,38
434,Pallavi Kapoor,11,Computer Science,64
435,Karan Menon,12,Science,83
436,Rohan Thakur,10,Math,49
437,Kavya Rao,12,English,88
438,Rohan Malhotra,10,History,99
439,Sameer Kumar,12,Computer Science,42
440,Ananya Chauhan,10,Geography,76
441,Neha Chauhan,12,English,57
442,Dhruv Kumar,11,Geography,80
443,Tanya Nambiar,12,Science,66
444,Yash Bhat,11,Science,73
445,Riya Agarwal,10,Computer Science,97
446,Pooja Kapoor,11,Geography,70
447,Riya Mehta,12,History,79
448,Rohan Verma,9,English,45
449,Divya Kumar,12,Computer Science,67
450,Neha Desai,10,Geography,69
451,Rajesh Agarwal,11,Science,48
452,Sameer Choudhary,10,Science,41
453,Vivek Singh,10,Math,47
454,Aarohi Gupta,12,Math,52
455,Aditi Bhat,10,History,95
456,Neha Sharma,10,English,76
457,Riya Sharma,9,Math,64
458,Anjali Choudhary,9,Science,88
459,Devansh Kumar,9,History,98
460,Devansh Kumar,11,Math,36
461,Aditya Menon,9,English,71
462,Dhruv Sharma,12,Science,99
463,Dhruv Joshi,10,Math,77
464,Ishita Choudhary,12,Computer Science,67
465,Devansh Rao,11,English,59
466,Devansh Nambiar,12,History,100
467,Pooja Iyer,12,Computer Science,47
468,Devansh Kulkarni,12,English,66
469,Aditi Joshi,12,Science,92
470,Yash Gupta,11,Geography,36
471,Tanya Sharma,11,Computer Science,65
472,Karan Krishnan,9,History,74
473,Ishita Reddy,11,Computer Science,50
474,Riya Patel,10,Science,52
475,Neha Kulkarni,12,Computer Science,82
476,Aarohi Agarwal,12,Geography,62
477,Siddharth Krishnan,9,Geography,92
478,Vivek Agarwal,11,Math,49
479,Karan Thakur,10,Geography,54
480,Ishita Gupta,12,Math,61
481,Gaurav Kapoor,9,Geography,92
482,Karan Pillai,10,Geography,88
483,Dhruv Menon,9,Geography,94
484,Aditya Choudhary,9,History,67
485,Aditi Choudhary,10,Geography,44
486,Meera Malhotra,11,Computer Science,43
487,Anjali Shah,9,History,39
488,Riya Malhotra,10,Science,88
489,Manav Saxena,12,History,83
490,Sanya Iyer,10,Computer Science,79
491,Vikram Nair,12,Geography,51
492,Nisha Thakur,9,Math,73
493,Dhruv Krishnan,12,Geography,83
494,Nisha Singh,12,English,54
495,Yash Desai,9,Math,88
496,Sameer Bose,9,Science,61
497,Sneha Mehta,9,History,41
498,Siddharth Choudhary,9,History,91
499,Nisha Bhat,10,Math,52
500,Sara Verma,10,Computer Science,75
501,Shreya Nambiar,11,Science,73
502,Rohan Krishnan,10,History,73
503,Yash Shah,10,Computer Science,89
504,Rajesh Kapoor,9,English,83
505,Vivek Gupta,12,History,54
506,Aditya Reddy,10,Geography,95
507,Siddharth Kaur,10,English,53
508,Dhruv Kumar,9,Geography,87
509,Aarohi Bhat,10,History,66
510,Tanya Desai,11,Computer Science,45
511,Simran Kaur,11,Math,59
512,Karan Joshi,12,Computer Science,40
513,Sneha Desai,10,History,61
514,Kabir Verma,9,Science,59
515,Vikram Choudhary,12,Science,61
516,Nikhil Kumar,10,Geography,76
517,Riya Reddy,12,Geography,80
518,Aditya Joshi,11,Geography,98
519,Dhruv Mehta,12,English,61
520,Manav Gupta,12,Math,63
521,Rohan Rao,11,Geography,88
522,Riya Kulkarni,10,English,64
523,Sanya Menon,10,History,78
524,Tanya Bose,12,Computer Science,97
525,Dhruv Nair,11,Science,52
526,Anjali Kapoor,10,Geography,42
527,Vivek Shah,9,Computer Science,41
528,Aditi Malhotra,10,Computer Science,64
529,Sneha Agarwal,10,Math,62
530,Sara Pillai,11,Math,96
531,Amit Rao,9,Geography,87
532,Aditi Rao,11,Geography,71
533,Rahul Chauhan,12,Science,48
534,Priya Chauhan,10,Science,59
535,Sameer Chauhan,11,English,69
536,Nikhil Iyer,11,History,93
537,Shreya Singh,10,English,45
538,Meera Iyer,12,History,83
539,Rajesh Kapoor,9,Computer Science,36
540,Ishita Iyer,12,History,77
541,Shreya Kaur,9,Geography,40
542,Nisha Desai,12,English,40
543,Sneha Krishnan,11,Geography,39
544,Devansh Kumar,11,Math,61
545,Gaurav Kulkarni,12,Math,73
546,Ishita Menon,10,Geography,84
547,Anjali Gupta,12,Computer Science,52
548,Arjun Chauhan,11,Math,47
549,Yuvraj Singh,9,English,85
550,Pooja Rao,11,History,97
551,Nisha Patel,12,History,58
552,Gaurav Krishnan,12,Math,72
553,Siddharth Agarwal,9,Math,69
554,Rohan Reddy,10,Computer Science,84
555,Pooja Patel,9,Math,35
556,Aditya Pillai,11,English,48
557,Ananya Iyer,10,History,92
558,Rajesh Bhat,12,Math,38
559,Arjun Patel,9,Geography,76
560,Sanya Rao,11,History,84
561,Arjun Choudhary,10,Geography,56
562,Sanya Nair,10,English,73
563,Yash Kapoor,10,Math,56
564,Yuvraj Joshi,12,English,96
565,Sneha Patel,11,Science,98
566,Pallavi Nambiar,10,History,48
567,Ananya Verma,9,History,77
568,Sameer Reddy,11,History,77
569,Yuvraj Thakur,10,English,76
570,Pallavi Agarwal,10,History,75
571,Devansh Reddy,11,English,97
572,Shreya Trivedi,10,English,83
573,Yash Thakur,12,English,49
574,Shreya Desai,10,Computer Science,38
575,Dhruv Agarwal,10,History,72
576,Sneha Thakur,12,Computer Science,98
577,Ananya Sharma,11,Science,67
578,Rohan Agarwal,12,History,44
579,Simran Nambiar,12,Geography,86
580,Anjali Chauhan,12,Geography,39
581,Manav Agarwal,9,Math,66
582,Divya Nair,9,Geography,86
583,Kabir Trivedi,12,Math,36
584,Priya Joshi,10,Geography,63
585,Simran Patel,12,History,99
586,Rohan Patel,9,History,48
587,Riya Malhotra,9,Math,53
588,Divya Verma,11,History,61
589,Vivek Kapoor,11,History,47
590,Simran Choudhary,12,English,43
591,Aditya Shah,9,Math,78
592,Priya Krishnan,10,Computer Science,66
593,Vivek Nair,10,English,89
594,Dhruv Singh,12,Computer Science,58
595,Devansh Sharma,12,History,38
596,Sameer Saxena,10,History,89
597,Sanya Rao,10,Science,70
598,Sneha Menon,9,Geography,58
599,Manav Gupta,10,History,49
600,Tanya Krishnan,12,Geography,75
601,Pallavi Reddy,12,Geography,49
602,Divya Patel,12,Geography,57
603,Aditya Kumar,9,Computer Science,52
604,Pooja Mehta,10,English,49
605,Devansh Patel,10,Geography,84
606,Aarohi Nambiar,10,Geography,84
607,Yuvraj Nair,12,Computer Science,57
608,Rajesh Nair,12,English,52
609,Devansh Gupta,12,Geography,41
610,Divya Rao,12,Science,59
611,Sanya Bhat,12,History,97
612,Aarohi Agarwal,12,History,56
613,Arjun Menon,9,Science,72
614,Meera Joshi,10,Geography,71
615,Ishita Bose,12,Geography,98
616,Rajesh Chauhan,9,Geography,49
617,Yash Bose,11,Geography,40
618,Simran Bhat,10,History,48
619,Siddharth Verma,9,History,68
620,Divya Kaur,9,History,50
621,Siddharth Desai,11,Computer Science,89
622,Ishita Nambiar,10,Science,61
623,Karan Menon,11,Geography,70
624,Pallavi Bhat,10,English,72
625,Riya Menon,11,Geography,47
626,Ananya Bose,12,Math,70
627,Ananya Agarwal,10,Science,53
628,Pooja Thakur,10,Computer Science,85
629,Amit Kulkarni,11,Computer Science,88
630,Sanya Pillai,9,Computer Science,46
631,Nikhil Chauhan,11,Computer Science,82
632,Dhruv Kapoor,11,Geography,35
633,Arjun Choudhary,12,Computer Science,80
634,Sneha Trivedi,12,Science,89
635,Aryan Kapoor,11,English,71
636,Kabir Bhat,10,Geography,97
637,Kabir Saxena,9,Math,47
638,Dhruv Rao,9,Science,91
639,Dhruv Rao,12,Science,51
640,Aditya Nair,11,Math,81
641,Tanya Iyer,11,Computer Science,56
642,Karan Reddy,11,Computer Science,64
643,Yuvraj Sharma,9,Computer Science,47
644,Aditi Desai,12,Math,51
645,Gaurav Singh,12,Math,36
646,Kabir Thakur,9,History,51
647,Neha Iyer,10,History,46
648,Priya Mehta,11,English,73
649,Ananya Reddy,10,Computer Science,53
650,Sneha Chauhan,9,Geography,56
651,Simran Patel,10,Computer Science,54
652,Aarohi Nambiar,12,Science,46
653,Priya Kulkarni,9,Geography,84
654,Divya Malhotra,11,Science,66
655,Yash Sharma,9,Science,71
656,Rahul Kaur,11,Science,100
657,Kavya Choudhary,12,English,41
658,Siddharth Kapoor,12,Math,65
659,Amit Sharma,9,Geography,36
660,Manav Kumar,11,Science,84
661,Shreya Malhotra,11,Geography,57
662,Neha Bose,9,Math,43
663,Aditi Joshi,10,Math,42
664,Nikhil Chauhan,11,Computer Science,99
665,Aarohi Malhotra,12,Math,54
666,Yash Iyer,11,Math,100
667,Aryan Trivedi,10,Geography,76
668,Nikhil Menon,9,English,90
669,Siddharth Shah,10,Math,90
670,Vikram Pillai,9,English,57
671,Vikram Rao,10,Computer Science,36
672,Ishita Kapoor,11,Geography,68
673,Ishita Patel,10,Computer Science,69
674,Vikram Bose,9,English,89
675,Yash Chauhan,9,English,44
676,Amit Pillai,11,Math,98
677,Shreya Nair,11,Science,67
678,Priya Saxena,9,Science,100
679,Aditi Shah,9,Science,40
680,Neha Patel,12,Science,57
681,Meera Bhat,12,Science,76
682,Siddharth Malhotra,11,English,44
683,Shreya Patel,9,Geography,41
684,Devansh Singh,9,History,43
685,Dhruv Kaur,11,English,76
686,Arjun Bhat,12,Math,82
687,Kavya Verma,11,Computer Science,66
688,Dhruv Patel,12,Science,66
689,Rohan Rao,12,Math,64
690,Anjali Patel,9,English,35
691,Sanya Kaur,11,Math,61
692,Vivek Singh,12,History,42
693,Rohan Agarwal,11,Math,40
694,Nisha Saxena,12,Computer Science,82
695,Dhruv Choudhary,9,Geography,47
696,Sara Kulkarni,12,Math,42
697,Yuvraj Krishnan,10,Science,72
698,Tanya Kaur,11,History,76
699,Pooja Pillai,11,Science,44
700,Kavya Kulkarni,9,Science,48
701,Ishita Pillai,12,English,87
702,Vikram Bhat,11,Science,92
703,Aditya Pillai,11,Math,46
704,Ishita Trivedi,11,Computer Science,40
705,Aryan Thakur,11,Science,46
706,Siddharth Patel,12,Geography,41
707,Aditya Joshi,10,Math,86
708,Simran Bhat,10,Math,94
709,Priya Trivedi,10,Math,36
710,Karan Thakur,10,Science,60
711,Nikhil Patel,9,Geography,68
712,Sneha Rao,9,Science,91
713,Ananya Iyer,11,Math,40
714,Dhruv Shah,10,Geography,90
715,Nikhil Kapoor,9,History,89
716,Devansh Patel,10,Science,70
717,Yash Pillai,10,Math,66
718,Riya Kapoor,12,Geography,96
719,Karan Iyer,11,History,52
720,Aarohi Desai,10,Computer Science,37
721,Sanya Trivedi,11,History,97
722,Divya Kumar,11,History,69
723,Devansh Rao,11,Geography,63
724,Rahul Saxena,11,Math,95
725,Vivek Patel,10,Science,47
726,Siddharth Krishnan,10,English,42
727,Nisha Menon,12,English,57
728,Devansh Singh,11,Computer Science,80
729,Gaurav Rao,11,Geography,53
730,Shreya Desai,12,Geography,74
731,Devansh Kapoor,9,Math,42
732,Nisha Nambiar,10,Math,96
733,Aditi Gupta,10,Science,78
734,Devansh Kumar,11,Math,37
735,Rohan Menon,10,Math,81
736,Sneha Patel,12,Geography,47
737,Kabir Verma,11,Science,55
738,Yuvraj Trivedi,12,Computer Science,75
739,Devansh Agarwal,11,Science,57
740,Sanya Verma,11,Science,57
741,Aditi Agarwal,12,Geography,39
742,Devansh Nambiar,11,Geography,63
743,Shreya Mehta,12,Science,77
744,Sneha Singh,11,English,56
745,Arjun Thakur,11,History,36
746,Tanya Desai,10,Computer Science,43
747,Divya Joshi,9,Computer Science,35
748,Karan Reddy,12,Computer Science,88
749,Ishita Saxena,12,History,83
750,Divya Bhat,12,Math,96
751,Shreya Sharma,10,Science,92
752,Sneha Trivedi,9,English,37
753,Pooja Joshi,9,Math,78
754,Ishita Saxena,12,Science,44
755,Rajesh Saxena,9,English,96
756,Rahul Malhotra,10,Geography,90
757,Ishita Shah,9,English,61
758,Kavya Malhotra,11,Computer Science,71
759,Aditya Singh,9,Math,85
760,Shreya Bhat,12,Science,41
761,Manav Rao,12,Math,72
